partnership,ghgrp_id,frs_id,primary_naics,oris,longitude_wgs84,latitude_wgs84,source_name,operator,address,city,state_prov_name,state_prov_abbrv,state_location,source_type,source_type_common,epa_ind_subpart,epa_sector,fuel,co2_tonne,co2_bio,year,data_source,comments,featid
WESTCARB,1000369,1.10E+11,562212,,-116.056224,33.752909,CORONA DISPOSAL SITE,,1300 MAGNOLIA AVENUE,CORONA,CALIFORNIA,CA,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1229
WESTCARB,1003175,1.10E+11,221112,,-117.5813255,33.89130597,"CORONA ENERGY PARTNERS, LTD",,34759 LENCIONI AVE,BAKERSFIELD,CALIFORNIA,CA,,,ELECTRICITY,C,Power Plants,,66969,,2013,U.S. EPA GHG Reporting Program,,1230
SWP,1004224,1.10E+11,562212,,-106.841437,32.227514,CORRALITOS REGIONAL LANDFILL,,14535 ROBERT LARSON BLVD,LAS CRUCES,NEW MEXICO,NM,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1231
MRCSP,1003036,1.10E+11,562212,,-76.06955208,42.59925953,CORTLAND COUNTY INTERIM II LANDFILL/WEST SIDE EXT,,,MCGRAW,NEW YORK,NY,,,WASTE MANAGEMENT,"C,HH",Waste,,46,,2013,U.S. EPA GHG Reporting Program,,1232
SWP,1005885,1.10E+11,211112,,-97.63415262,32.44594465,CORVETTE GAS PROCESSING PLANT,,8407 GODLEY RD,GRANBURY,TEXAS,TX,,,PETROLEUM/NATURAL GAS,"C,W-PROC",Petroleum and Natural Gas Systems,,106908,,2013,U.S. EPA GHG Reporting Program,,1233
MRCSP,1007579,1.10E+11,562212,,-81.826,40.223,COSHOCTON LANDFILL INC *,,19469 CO RD 7,COSHOCTON,OHIO,OH,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1234
SECARB,1004346,1.10E+11,221330,,-80.88427,33.46983,COUNCIL ENERGY INC,,679 CANNON BRIDGE RD,ORANGEBURG,SOUTH CAROLINA,SC,,,ELECTRICITY,C,Power Plants,,,61919,2013,U.S. EPA GHG Reporting Program,,1235
MRCSP,1007975,1.10E+11,562212,,-79.28556302,41.39167817,COUNTY ENVIRONMENTAL LANDFILL OF CLARION,,344 WALLEY RUN DRIVE,LEEPER,PENNSYLVANIA,PA,,,WASTE MANAGEMENT,"C,HH",Waste,,1,,2013,U.S. EPA GHG Reporting Program,,1236
MRCSP,1002555,1.10E+11,562212,,-83.33000424,40.91000791,COUNTY ENVIRONMENTAL LANDFILL OF WYANDOT,,11164 COUNTY ROAD 4,CAREY,OHIO,OH,,,WASTE MANAGEMENT,"C,HH",Waste,,23,,2013,U.S. EPA GHG Reporting Program,,1237
MRCSP,1007024,1.10E+11,562212,,-86.24845515,41.22379782,COUNTY LINE LANDFILL,,7922 NORTH OLD US HWY 31,ARGOS,INDIANA,IN,,,WASTE MANAGEMENT,"C,HH",Waste,,60,,2013,U.S. EPA GHG Reporting Program,,1238
MRCSP,1008003,1.10E+11,562212,,-81.38411363,40.69325795,COUNTYWIDE RECYCLING & DISPOSAL FACILITY,,3619 GRACEMONT STREET SW,EAST SPARTA,OHIO,OH,,,WASTE MANAGEMENT,"C,HH",Waste,,17,,2013,U.S. EPA GHG Reporting Program,,1239
PCOR,1007631,1.10E+11,562212,,-94.34852726,39.14886702,COURTNEY RIDGE LANDFILL,,2001 N COURTNEY ROAD,SUGAR CREEK,MISSOURI,MO,,,WASTE MANAGEMENT,"C,HH",Waste,,17,,2013,U.S. EPA GHG Reporting Program,,1240
SECARB,1001813,1.10E+11,562213,,-77.12859218,38.80137775,"COVANTA ALEXANDRIA/ARLINGTON, INC",,5301 EISENHOWER AVENUE,ALEXANDRIA,VIRGINIA,VA,,,WASTE MANAGEMENT,C,Waste,,108684,190191,2013,U.S. EPA GHG Reporting Program,,1241
MRCSP,1005870,1.10E+11,562213,,-73.38628389,40.73407165,"COVANTA BABYLON, INC.",,125 GLEAM STREET,WEST BABYLON,NEW YORK,NY,,,ELECTRICITY,C,Waste,,79874,147622,2013,U.S. EPA GHG Reporting Program,,1242
NATCARB,1005172,1.10E+11,562213,,-72.915951,41.64911846,"COVANTA BRISTOL, INC",,170 ENTERPRISE DRIVE,BRISTOL,CONNECTICUT,CT,,,WASTE MANAGEMENT,C,Waste,,71419,118086,2013,U.S. EPA GHG Reporting Program,,1243
NATCARB,1005179,1.10E+11,562213,,-71.12402548,42.76540873,COVANTA HAVERHILL INC,,100 RECOVERY WAY,HAVERHILL,MASSACHUSETTS,MA,,,WASTE MANAGEMENT,C,Waste,,208460,307148,2013,U.S. EPA GHG Reporting Program,,1244
MRCSP,1002398,1.10E+11,562213,,-73.59011069,40.73827727,COVANTA HEMPSTEAD,,600 MERCHANTS CONCOURSE,WESTBURY,NEW YORK,NY,,,ELECTRICITY,C,Waste,,298241,575724,2013,U.S. EPA GHG Reporting Program,,1245
NATCARB,1007914,1.10E+11,562213,,-158.1070144,21.30400345,COVANTA HONOLULU RESOURCE RECOVERY VENTURE (H-POWER),,91-174 HANUA ST,KAPOLEI,HAWAII,HI,,,WASTE MANAGEMENT,C,Waste,,256248,421574,2013,U.S. EPA GHG Reporting Program,,1246
MRCSP,1002400,1.10E+11,562213,,-73.29020343,40.88120719,COVANTA HUNTINGTON,,99 TOWN LINE RD.,EAST NORTHPORT,NEW YORK,NY,,,ELECTRICITY,C,Waste,,110822,193875,2013,U.S. EPA GHG Reporting Program,,1247
SECARB,1003242,1.10E+11,562213,,-81.88944316,28.73974536,COVANTA LAKE II INC,,3830 ROGERS INDUSTRIAL PARK ROAD,OKAHUMPKA,FLORIDA,FL,,,WASTE MANAGEMENT,C,Waste,,57597,95235,2013,U.S. EPA GHG Reporting Program,,1248
BSCSP,1001646,1.10E+11,562213,,-122.96277,45.04802018,"COVANTA MARION, INC",,4850 BROOKLAKE ROAD NORTHEAST,BROOKS,OREGON,OR,,,WASTE MANAGEMENT,C,Waste,,73385,91525,2013,U.S. EPA GHG Reporting Program,,1249
NATCARB,1004797,1.10E+11,562213,,-73.19414414,42.46840961,COVANTA PITTSFIELD LLC,,500 HUBBARD AVENUE,PITTSFIELD,MASSACHUSETTS,MA,,,WASTE MANAGEMENT,C,Waste,,25644,39181,2013,U.S. EPA GHG Reporting Program,,1250
MRCSP,1007884,1.10E+11,562213,,-75.31795587,40.0977154,COVANTA PLYMOUTH RENEWABLE ENERGY LP,,1155 CONSHOHOCKEN ROAD,CONSHOHOCKEN,PENNSYLVANIA,PA,,,ELECTRICITY,C,Waste,,155841,238695,2013,U.S. EPA GHG Reporting Program,,1251
NATCARB,1005171,1.10E+11,562213,,-72.83471096,41.44010842,COVANTA RESOURCE RECOVERY FACILITY,,530 SOUTH CHERRY STREET,WALLINGFORD,CONNECTICUT,CT,,,WASTE MANAGEMENT,C,Waste,,52286,64903,2013,U.S. EPA GHG Reporting Program,,1252
NATCARB,1004865,1.10E+11,562213,,-72.59085892,42.09053255,COVANTA SPRINGFIELD LLC,,188 M ST,AGAWAM,MASSACHUSETTS,MA,,,WASTE MANAGEMENT,C,Waste,,25355,75797,2013,U.S. EPA GHG Reporting Program,,1253
MRCSP,1001869,1.10E+11,562213,,-75.01135473,40.82017751,COVANTA WARREN ENERGY RESOURCE CO,,218 MOUNT PISGAH ROAD,OXFORD,NEW JERSEY,NJ,,,ELECTRICITY,C,Waste,,61050,93610,2013,U.S. EPA GHG Reporting Program,,1254
BSCSP,1005412,1.10E+11,562212,,-122.905601,46.107229,COWLITZ COUNTY LANDFILL,,85 TENNANT WAY,LONGVIEW,WASHINGTON,WA,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1255
WESTCARB,1002104,1.10E+11,562212,,-117.826108,33.617152,COYOTE CANYON SANITARY LANDFILL,,20661 NEWPORT COAST DRIVE,NEWPORT BEACH,CALIFORNIA,CA,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1256
SWP,1007148,1.10E+11,311999,,-95.9605204,35.62348831,"CP KELCO US, INC.-OKMULGEE",,1200 WEST 20TH STREET,OKMULGEE,OKLAHOMA,OK,,,AG PROCESSING,C,Other,,77845,3072,2013,U.S. EPA GHG Reporting Program,,1257
SWP,1005818,1.10E+11,211112,,-97.68334063,32.33750562,COWTOWN GAS PROCESSING PLANT,,2400 COUNTY ROAD 326,CLEBURNE,TEXAS,TX,,,PETROLEUM/NATURAL GAS,"C,W-PROC",Petroleum and Natural Gas Systems,,103720,,2013,U.S. EPA GHG Reporting Program,,1258
SECARB,1000226,1.10E+11,221112,,-78.9614619,36.4348059,CPI USA NORTH CAROLINA ROXBORO,,331 ALLIE CLAY RD,ROXBORO,NORTH CAROLINA,NC,,,ELECTRICITY,C,Power Plants,,149044,195541,2013,U.S. EPA GHG Reporting Program,,1259
SECARB,1000225,1.10E+11,221112,,-78.01177659,33.94437397,CPI USA NORTH CAROLINA SOUTHPORT,,1281 POWERHOUSE DR SE,SOUTHPORT,NORTH CAROLINA,NC,,,ELECTRICITY,C,Power Plants,,316979,414860,2013,U.S. EPA GHG Reporting Program,,1260
WESTCARB,1010962,1.10E+11,221112,,-116.570589,33.926815,CPV SENTINEL LLC,,15775 MELISSA LN,N. PALM SPRINGS,CALIFORNIA,CA,,,ELECTRICITY,D,Power Plants,,185311,,2013,U.S. EPA GHG Reporting Program,,1261
SECARB,1005397,1.10E+11,562212,,-90.684793,35.71958,CRAIGHEAD COUNTY SOLID WASTE DISPOSAL,,328 COUNTY ROAD 476,JONESBORO,ARKANSAS,AR,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1262
NATCARB,1005039,1.10E+11,562212,,-70.98475,41.724511,CRAPO HILL LANDFILL,,300 SAMUEL BARNET BLVD,NEW BEDFORD,MASSACHUSETTS,MA,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1263
MRCSP,1002276,1.10E+11,562212,,-82.867333,40.813216,CRAWFORD COUNTY SANITARY LANDFILL,,5128 LINCOLN HIGHWAY EAST,BUCYRUS,OHIO,OH,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1264
WESTCARB,1004419,1.10E+11,562212,,-121.6186,36.8026,CRAZY HORSE SANITARY LANDFILL,,350 CRAZY HORSE CANYON ROAD,SALINAS,CALIFORNIA,CA,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1265
SECARB,1009748,1.10E+11,212112,,-82.604399,36.970042,CRCVA-BLUFF SPUR #1,,5703 CRUTCHFIELD DRIVE,NORTON,VIRGINIA,VA,,,MINING,FF,Other,,2628,,2013,U.S. EPA GHG Reporting Program,,1266
SECARB,1009746,1.10E+11,212112,,-82.604399,36.970042,CRCVA-DORCHESTER MINE #4,,5703 CRUTCHFIELD DRIVE,NORTON,VIRGINIA,VA,,,MINING,FF,Other,,,,2013,U.S. EPA GHG Reporting Program,,1267
SECARB,1009749,1.10E+11,212112,,-82.604399,36.970042,CRCVA-OSAKA MINE #1,,5703 CRUTCHFIELD DRIVE,NORTON,VIRGINIA,VA,,,MINING,FF,Other,,6578,,2013,U.S. EPA GHG Reporting Program,,1268
SECARB,1005196,1.10E+11,562212,,-89.99852,29.97371,CRESCENT ACRES LANDFILL,,6599 FLORIDA AVE,NEW ORLEANS,LOUISIANA,LA,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1269
SECARB,1006729,1.10E+11,486210,,-93.81977662,32.19434575,CREEDENCE CMP STN,,,KICKAPOO,LOUISIANA,LA,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,7385,,2013,U.S. EPA GHG Reporting Program,,1270
SECARB,1002732,1.10E+11,562212,,-90.255351,35.129843,CRITTENDEN COUNTY LANDFILL,,1299 KUHN ROAD,WEST MEMPHIS,ARKANSAS,AR,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1271
SWP,1006669,1.10E+11,327310,,-111.1490107,32.40915504,CALPORTLAND COMPANY RILLITO PLANT,,11115 NORTH CASA GRANDE HIGHWAY,RILLITO,ARIZONA,AZ,,,CEMENT PLANT,"C,H",Minerals,,554401,,2013,U.S. EPA GHG Reporting Program,,1272
WESTCARB,1005446,1.10E+11,211112,,-119.3119554,35.28055996,CRESTWOOD WEST COAST NORTH COLES LEVEE GAS PLANT,,9224 TUPMAN ROAD,TUPMAN,CALIFORNIA,CA,,,PETROLEUM/NATURAL GAS,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",,34628,,2013,U.S. EPA GHG Reporting Program,,1273
WESTCARB,1001629,1.10E+11,221112,,-122.2160341,38.05739481,CROCKETT COGENERATION PLANT,,550 LORING AVENUE,CROCKETT,CALIFORNIA,CA,,,ELECTRICITY,C,Power Plants,,735164,,2013,U.S. EPA GHG Reporting Program,,1274
BSCSP,1005356,1.10E+11,562111,,-120.915862,44.298198,CROOK COUNTY LANDFILL,,5601 SW HOUSTON LAKE RD.,PRINEVILLE,OREGON,OR,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1275
NATCARB,1007646,1.10E+11,562212,,-69.82755016,44.70493913,CROSSROADS LANDFILL,,357 MERCER RD,NORRIDGEWOCK,MAINE,ME,,,WASTE MANAGEMENT,"C,HH",Waste,,1007,13073,2013,U.S. EPA GHG Reporting Program,,1276
SECARB,1006249,1.10E+11,486210,,-93.07766341,31.88745672,CROSSTEX LIG LLC - RED RIVER COMPRESSOR,,,CAMPTI,LOUISIANA,LA,,,PETROLEUM/NATURAL GAS,"C,W-PROC",Petroleum and Natural Gas Systems,,147,,2013,U.S. EPA GHG Reporting Program,,1277
SECARB,1005248,1.10E+11,211111,,-92.45083916,30.12861637,CROSSTEX PROCESSING SERVICES LLC - BLUE WATER GAS PLANT,,2329 E WHITNEY HWY 92,MORSE,LOUISIANA,LA,,,PETROLEUM/NATURAL GAS,"C,W-PROC",Petroleum and Natural Gas Systems,,23047,,2013,U.S. EPA GHG Reporting Program,,1278
SECARB,1003158,1.10E+11,211112,,-91.03439579,30.21375543,CROSSTEX PROCESSING SERVICES LLC - RIVERSIDE FRACTIONATION,,10280 LOUISIANA HWY 75,GEISMAR,LOUISIANA,LA,,,PETROLEUM/NATURAL GAS,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",,73832,,2013,U.S. EPA GHG Reporting Program,,1279
SECARB,1002644,1.10E+11,562212,,-96.787501,32.223334,CSC DISPOSAL AND LANDFILL,,101 REPUBLIC WAY,AVALON,TEXAS,TX,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1280
SECARB,1001627,1.10E+11,562212,,-78.86141651,35.0668379,CUMBERLAND COUNTY ANN STREET LANDFILL,,698 ANN STREET,FAYETTEVILLE,NORTH CAROLINA,NC,,,WASTE MANAGEMENT,"C,HH",Waste,,32,,2013,U.S. EPA GHG Reporting Program,,1281
MRCSP,1002702,1.10E+11,562212,,-75.09478358,39.44957295,CUMBERLAND COUNTY IMPROVEMENT AUTHORITY SWC,,169 JESSE BRG RD,MILLVILLE,NEW JERSEY,NJ,,,WASTE MANAGEMENT,"C,HH",Waste,,90,,2013,U.S. EPA GHG Reporting Program,,1282
SECARB,1005361,1.10E+11,311411,,-81.79889211,28.05583819,"CUTRALE CITRUS JUICES USA, INC.",,602 MCKEAN ST.,AUBURNDALE,FLORIDA,FL,,,AG PROCESSING,C,Other,,67925,,2013,U.S. EPA GHG Reporting Program,,1283
SECARB,1006667,1.10E+11,311411,,-81.86522415,28.81264438,"CUTRALE CITRUS JUICES USA, INC.",,11 CLOUD ST.,LEESBURG,FLORIDA,FL,,,AG PROCESSING,C,Other,,44942,,2013,U.S. EPA GHG Reporting Program,,1284
MRCSP,1007902,1.10E+11,562212,,-81.47442,41.374,CUYAHOGA REGIONAL SANITARY LANDFILL,,28625 AMBINA DRIVE,SOLON,OHIO,OH,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1285
WESTCARB,1007794,1.10E+11,562212,,-119.8757026,36.005735,"CWMI, KHF (MSW LANDFILL B-19)",,35251 OLD SKYLINE RD.,KETTLEMAN CITY,CALIFORNIA,CA,,,WASTE MANAGEMENT,"C,HH",Waste,,1170,,2013,U.S. EPA GHG Reporting Program,,1286
PCOR,1000354,1.10E+11,334413,,-93.23516059,44.848016,CYPRESS SEMICONDUCTOR MINNESOTA INC,,2401 E. 86TH ST.,BLOOMINGTON,MINNESOTA,MN,,,INDUSTRIAL,"C,I",Other,,3088,5,2013,U.S. EPA GHG Reporting Program,,1287
MRCSP,1006142,1.10E+11,325199,,-81.31317451,39.3603607,CYTEC INDUSTRIES INC,,1 HEILMAN AVENUE,WILLOW ISLAND,WEST VIRGINIA,WV,,,REFINERIES/CHEMICAL,C,Chemicals,,37266,,2013,U.S. EPA GHG Reporting Program,,1288
MRCSP,1005420,1.10E+11,486210,,-76.41143493,38.38399169,COVE POINT LNG FACILITY,,2100 COVE POINT RD,LUSBY,MARYLAND,MD,,,PETROLEUM/NATURAL GAS,"C,W-LNGIE",Petroleum and Natural Gas Systems,,171894,,2013,U.S. EPA GHG Reporting Program,,1289
PCOR,1009508,1.10E+11,486210,,-104.419,46.6138,CABIN CREEK COMPRESSOR STATION,,1661 CABIN CREEK ROAD,BAKER,MONTANA,MT,,,PETROLEUM/NATURAL GAS,"C,W-NGTC",Petroleum and Natural Gas Systems,,31228,,2013,U.S. EPA GHG Reporting Program,,1290
SECARB,1007083,1.10E+11,562212,,-67.15369749,18.03748372,CABO ROJO LANDFILL,,"CARR. PR-313, KM 13.4, LLANOS COSTAS, SECTOR LAS PALMAS",CABO ROJO,PUERTO RICO,PR,,,WASTE MANAGEMENT,"C,HH",Waste,,1,,2013,U.S. EPA GHG Reporting Program,,1291
WESTCARB,1005837,1.10E+11,221112,,-117.3367986,33.13621205,CABRILLO POWER I ENCINA POWER STATION,,4600 CARLSBAD BLVD,CARLSBAD,CALIFORNIA,CA,,,ELECTRICITY,"C,D",Power Plants,,336677,,2013,U.S. EPA GHG Reporting Program,,1292
WESTCARB,1010540,1.10E+11,221112,,-117.1384118,32.8045348,CABRILLO POWER II LLC - KEARNY 2 & 3,,5459 COMPLEX STREET,SAN DIEGO,CALIFORNIA,CA,,,ELECTRICITY,C,Power Plants,,12242,,2013,U.S. EPA GHG Reporting Program,,1293
SECARB,1003815,1.10E+11,213112,,-92.41029044,35.34415243,CADDIS CPF-2,,1678 HWY. 65 NORTH,DAMASCUS,ARKANSAS,AR,,,PETROLEUM/NATURAL GAS,C,Petroleum and Natural Gas Systems,,34632,,2013,U.S. EPA GHG Reporting Program,,1294
MRCSP,1010177,1.10E+11,211112,,-81.010473,40.243719,CADIZ GAS PROCESSING PLANT,,43071 INDUSTRIAL PARK DRIVE,CADIZ,OHIO,OH,,,PETROLEUM/NATURAL GAS,"C,W-PROC",Petroleum and Natural Gas Systems,,41942,,2013,U.S. EPA GHG Reporting Program,,1295
WESTCARB,1005508,1.10E+11,721120,,-115.1534308,36.06018822,CAESARS ENTERTAINMENT CONSOLIDATED PROPERTIES SOURCE ID 257,,ONE CAESARS PALACE DRIVE,LAS VEGAS,NEVADA,NV,,,UNCLASSIFIED,C,Other,,56894,,2013,U.S. EPA GHG Reporting Program,,1296
MRCSP,1000450,1.10E+11,221112,,-72.94033748,40.81417977,CAITHNESS LONG ISLAND ENERGY CENTER,,50 ZORN BOULEVARD,YAPHANK,NEW YORK,NY,,,ELECTRICITY,"C,D",Power Plants,,881328,,2013,U.S. EPA GHG Reporting Program,,1297
SWP,1006724,1.10E+11,562212,,-106.0717239,35.67281279,CAJA DEL RIO LANDFILL,,149 WILDLIFE WAY,SANTA FE,NEW MEXICO,NM,,,WASTE MANAGEMENT,"C,HH",Waste,,47,,2013,U.S. EPA GHG Reporting Program,,1298
WESTCARB,1000065,1.10E+11,221112,,-117.0426718,32.57416478,CALPEAK POWER - BORDER LLC,,2060 SANYO AVE,SAN DIEGO,CALIFORNIA,CA,,,ELECTRICITY,D,Power Plants,,4816,,2013,U.S. EPA GHG Reporting Program,,1299
WESTCARB,1007316,1.10E+11,221112,,-117.1160119,33.12200484,CALPEAK POWER - ENTERPRISE LLC,,201 ENTERPRISE ST,ESCONDIDO,CALIFORNIA,CA,,,ELECTRICITY,D,Power Plants,,7114,,2013,U.S. EPA GHG Reporting Program,,1300
WESTCARB,1006842,1.10E+11,327310,,-118.2977122,35.038375,CALPORTLAND COMPANY MOJAVE PLANT,,9350 OAK CREEK ROAD,MOJAVE,CALIFORNIA,CA,,,CEMENT PLANT,"C,H",Minerals,,939300,,2013,U.S. EPA GHG Reporting Program,,1301
SECARB,1007629,1.10E+11,211111,,-93.39462,29.98647,CALCASIEU LAKE PRODUCTION BARGE,,561 N MAIN,HACKBERRY,LOUISIANA,LA,,,PETROLEUM/NATURAL GAS,C,Petroleum and Natural Gas Systems,,9356,,2013,U.S. EPA GHG Reporting Program,,1302
SECARB,1001342,1.10E+11,221112,,-93.3448634,30.15800135,CALCASIEU PLANT,,1519 DAVISON ROAD,SULPHUR,LOUISIANA,LA,,,ELECTRICITY,"C,D",Power Plants,,213862,,2013,U.S. EPA GHG Reporting Program,,1303
SECARB,1001357,1.10E+11,221112,,-88.27195941,33.64690173,CALEDONIA,,255 LONE OAK RD,STEENS,MISSISSIPPI,MS,,,ELECTRICITY,"C,D",Power Plants,,1172512,,2013,U.S. EPA GHG Reporting Program,,1304
SECARB,1000812,1.10E+11,221112,,-85.97178913,33.58823961,"CALHOUN POWER COMPANY, LLC",,720 GREEN VALLEY DRIVE,EASTABOGA,ALABAMA,AL,,,ELECTRICITY,"C,D",Power Plants,,3686,4,2013,U.S. EPA GHG Reporting Program,,1305
SWP,1005482,1.10E+11,562212,,-101.775171,33.655501,CALICHE CANYON LANDFILL,,8425 NORTH AVENUE P,LUBBOCK,TEXAS,TX,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1306
WESTCARB,1005657,1.10E+11,311514,,-119.3054125,36.00940504,CALIFORNIA DAIRIES INC. TIPTON,,11894 AVENUE 120,TIPTON,CALIFORNIA,CA,,,AG PROCESSING,C,Other,,46638,,2013,U.S. EPA GHG Reporting Program,,1307
WESTCARB,1002105,1.10E+11,611310,,-118.1264921,34.13592491,CALIFORNIA INSTITUTE OF TECHNOLOGY,,1200 E. CALIFORNIA ,PASADENA,CALIFORNIA,CA,,,UNCLASSIFIED,C,Other,,50112,,2013,U.S. EPA GHG Reporting Program,,1308
WESTCARB,1010207,1.10E+11,562212,,-117.21742,34.08907,CALIFORNIA STREET LANDFILL,,2151 NEVADA STREET,CITY OF REDLANDS,CALIFORNIA,CA,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1309
MRCSP,1010717,1.10E+11,486210,,-80.29097324,39.94906786,CALLISTO COMPRESSOR STATION,,225 HOPKINS RUN ROAD,SYCAMORE,PENNSYLVANIA,PA,,,PETROLEUM/NATURAL GAS,C,Petroleum and Natural Gas Systems,,30553,,2013,U.S. EPA GHG Reporting Program,,1310
WESTCARB,1000594,1.10E+11,221112,,-121.6927257,39.05246494,"CALPINE - GREENLEAF INC, I",,5087 SOUTH TOWNSHIP,YUBA CITY,CALIFORNIA,CA,,,ELECTRICITY,D,Power Plants,,9304,,2013,U.S. EPA GHG Reporting Program,,1311
WESTCARB,1000596,1.10E+11,221112,,-121.6385107,39.13920893,CALPINE - GREENLEAF INC. II,,875 NORTH WALTON AVE,YUBA CITY,CALIFORNIA,CA,,,ELECTRICITY,C,Power Plants,,135999,,2013,U.S. EPA GHG Reporting Program,,1312
WESTCARB,1000453,1.10E+11,221112,,-121.5390789,37.00066181,"CALPINE GILROY COGEN, LP",,1400 PACHECO PASS HWY,GILROY,CALIFORNIA,CA,,,ELECTRICITY,"C,D",Power Plants,,81500,,2013,U.S. EPA GHG Reporting Program,,1313
SECARB,1007233,1.10E+11,221112,,-98.1619675,26.38803442,CALPINE HIDALGO ENERGY CENTER,,4005 N SEMINARY RD,EDINBURG,TEXAS,TX,,,ELECTRICITY,D,Power Plants,,845502,,2013,U.S. EPA GHG Reporting Program,,1314
WESTCARB,1000597,1.10E+11,221112,,-121.12786,36.22542803,"CALPINE KING CITY COGEN, LLC",,750 METZ ROAD,KING CITY,CALIFORNIA,CA,,,ELECTRICITY,C,Power Plants,,186454,,2013,U.S. EPA GHG Reporting Program,,1315
WESTCARB,1001320,1.10E+11,221112,,-121.6962654,39.05270079,CALPINE SUTTER ENERGY CENTER,,5029 SOUTH TOWNSHIP ROAD,YUBA CITY,CALIFORNIA,CA,,,ELECTRICITY,D,Power Plants,,404874,,2013,U.S. EPA GHG Reporting Program,,1316
BSCSP,1007739,1.10E+11,324110,,-111.2941797,47.52361782,"CALUMET MONTANA REFINING, LLC",,1900 10TH STREET NORTHEAST,GREAT FALLS,MONTANA,MT,,,REFINERIES/CHEMICAL,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",,119960,,2013,U.S. EPA GHG Reporting Program,,1317
SECARB,1005803,1.10E+11,324110,,-98.45906768,29.34758501,"CALUMET SPECIALTY PRODUCTS, LLC",,"1 BDA CROSSING, SUITE 100",SAN ANTONIO,TEXAS,TX,,,REFINERIES/CHEMICAL,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",,32866,,2013,U.S. EPA GHG Reporting Program,,1318
SECARB,1005719,1.10E+11,562212,,-79.12072271,37.27694736,CAMBPELL COUNTY LANDFILL,,427 LIVESTOCK ROAD,RUSTBURG,VIRGINIA,VA,,,WASTE MANAGEMENT,"C,HH",Waste,,5,,2013,U.S. EPA GHG Reporting Program,,1319
MRCSP,1001220,1.10E+11,221112,,-78.70139178,40.47361902,CAMBRIA COGEN,,243 RUBISCH ROAD,EBENSBURG,PENNSYLVANIA,PA,,,ELECTRICITY,D,Power Plants,,963707,,2013,U.S. EPA GHG Reporting Program,,1320
PCOR,1000468,1.10E+11,221112,,-93.2081,45.601,CAMBRIDGE STATION,,HIGHWAY 65,CAMBRIDGE,MINNESOTA,MN,,,ELECTRICITY,"C,D",Power Plants,,51858,,2013,U.S. EPA GHG Reporting Program,,1321
SECARB,1003933,1.10E+11,562212,,-81.669253,30.879739,CAMDEN COUNTY SR 110 MSW LANDFILL,,5395 HIGHWAY 110,WOODBINE,GEORGIA,GA,,,WASTE MANAGEMENT,HH,Waste,,,,2013,U.S. EPA GHG Reporting Program,,1322
MRCSP,1001226,1.10E+11,221112,,-75.11908972,39.91764505,"CAMDEN PLANT HOLDING, LLC",,570 CHELTON AVE,CAMDEN,NEW JERSEY,NJ,,,ELECTRICITY,"C,D",Power Plants,,164389,,2013,U.S. EPA GHG Reporting Program,,1323
MRCSP,1009919,1.10E+11,212112,,-82.3126294,38.1598024,CAMP CREEK MINE,,,EAST LYNN,WEST VIRGINIA,WV,,,MINING,FF,Other,,,,2013,U.S. EPA GHG Reporting Program,,1324
BSCSP,1011229,1.10E+11,562212,,-105.490383,44.39256,CAMPBELL COUNTY LANDFILL NO.2,,,GILLETTE,WYOMING,WY,,,WASTE MANAGEMENT,"C,HH",Waste,,28,3148,2013,U.S. EPA GHG Reporting Program,,1325
